default_city	default_postal	default_state_province	usgs_region
Fallon	89406-9159	NV	Pacific
Nixon	89424	NV	Pacific
Reno	89502	NV	Pacific
Owyhee	89832	NV	Pacific
Sparks	89431-4337	NV	Pacific
Schurz	89427	NV	Pacific
Gardnerville	89410	NV	Pacific
Reno	89509	NV	Pacific
Yerington	89447	NV	Pacific
Austin	89310	NV	Pacific
Poplar	59255	MT	Northwest
Browning	59417	MT	Northwest
Box Elder	59521	MT	Northwest
Pablo	59855	MT	Northwest
Crow Agency	59022	MT	Northwest
Harlem	59526	MT	Northwest
Great Falls	59404	MT	Northwest
Lame Deer	59043	MT	Northwest
Burns	97720	OR	Northwest
Coos Bay	97420	OR	Northwest
Siletz	97380	OR	Northwest
Grand Ronde	97347-9712	OR	Northwest
	97801-0638	OR	Northwest
Warm Springs	97761	OR	Northwest
Plummer	83851	ID	Northwest
Bonners Ferry	83805	ID	Northwest
Lapwai	83540	ID	Northwest
Fort Hall	83203	ID	Northwest
Ethete	82520	WY	Northwest
Fort Washakie	82514	WY	Northwest
Bay Center	98527	WA	Northwest
Toppenish	98948	WA	Northwest
Oakville	98568	WA	Northwest
Nespelem	99155	WA	Northwest
Longview	98632	WA	Northwest
Forks	98331	WA	Northwest
Sequim	98382-7670	WA	Northwest
Cusick	99119	WA	Northwest
Port Angeles	98363	WA	Northwest
Bellingham	98226-9221	WA	Northwest
Neah Bay	98357	WA	Northwest
Auburn	98092-9763	WA	Northwest
Olympia	98513-9199	WA	Northwest
Deming	98244	WA	Northwest
Kingston	98346-9700	WA	Northwest
Tacoma	98404-4926	WA	Northwest
La Push	98350	WA	Northwest
Taholah	98587	WA	Northwest
Anacortes	98221	WA	Northwest
Darrington	98241-9421	WA	Northwest
Tokeland	98590	WA	Northwest
Shelton	98584-9748	WA	Northwest
Snoqualmie	98065	WA	Northwest
Wellpinit	99040	WA	Northwest
Shelton	98584-9200	WA	Northwest
Arlington	98223	WA	Northwest
Suquamish	98392	WA	Northwest
LaConner	98257-9450	WA	Northwest
Tulalip	98271-9775	WA	Northwest
Sedro Woolley	98284-9739	WA	Northwest
Seneca Falls	13148	NY	Northeast
Oneida	13421	NY	Northwest
Nedrow	13120	NY	Northwest
Akwesasne	13655	NY	Northwest
Irving	14081	NY	Northwest
Southampton	11968	NY	Northeast
Basom	14013	NY	Northwest
Lewistown	14092	NY	Northwest
